marker,gene,gmsdis_coef,gmsdis_coef_pval,gmsdis_pval_fdr
4866_59_2,NTRK2,0.118421808,0.0296,3.8e-8
7785_1_3,EFNB3,0.12921893,0.043479416,0.002019635
7970_315_3,ART3,0.108633981,0.00248,4.19e-5
2747_3_2,ULBP3,0.168538298,8.88e-4,0.001025053
8296_117_3,KDELC2,0.24411287,3.40433e-4,6.64792e-4
11308_8_3,CREB3L4,0.125884431,0.0278,0.008006076
14002_18_3,DOCK9,0.148305077,0.034308844,9.87e-5
3290_50_2,CD109,0.277528057,1.41e-6,5.9e-5
6378_2_3,C5orf38,-0.105526552,0.0458,6.31e-34
6940_18_3,JPH1,-0.137560863,0.020878403,0.032792827
6586_19_3,ADAM11,0.112624763,0.0216,0.009138943
5843_60_3,EHMT2,-0.297325684,2e-5,6.47431e-4
5016_61_2,PARK7,0.247642351,0.001013684,0.015364987
8766_29_3,LILRA5,0.191542685,8.42e-4,5.63e-13
5837_49_3,LIFR,0.105005621,0.0479,3e-4
3003_29_2,NCR3,-0.205530536,9.50557e-4,0.003188446
7815_49_3,IGFBPL1,0.288053351,3.67e-8,1.22e-6
8933_84_3,MEF2C,-0.165522876,0.016097744,0.00414
13596_3_3,RAB27B,0.172907763,0.028209937,2.87e-5
5093_47_3,JAG2,-0.252748629,5.89e-5,0.003008963
12453_161_3,NXF1,-0.204845849,0.0052422119999999996,0.030383879
13468_5_3,NEURL4,0.149764422,2.67e-4,0.009803125
3198_4_1,IDS,0.123926873,0.0459,6.73e-5
9305_89_3,IFNGR2,0.136178752,0.0438,3.08344e-4
11212_7_3,TXNDC5,0.241616894,0.001499808,0.001774486
5262_57_3,BCAR3,-0.228290615,0.007165678,0.046066784
10022_207_3,POLH,-0.18658462,0.005614806,0.012979966
3587_53_2,BMP10,-0.263301122,8.46739e-4,0.011926504
8002_27_3,TMPRSS5,0.325898907,1.4e-7,2.75e-9
12779_30_3,PRDM4,-0.278897453,0.002413713,0.009489925
6356_3_3,CPB1,-0.259265262,6.78e-7,1.15e-5
11164_7_3,TENM2,0.18035932,0.022175661,0.002191759
6956_37_3,FAF2,-0.210929809,0.003728956,0.024093116
11919_84_3,LRIT3,0.26977566,0.013717818,6.4343e-4
3423_59_2,CMA1,-0.376463779,1.6423e-4,0.002143047
10615_18_3,MPZ,0.247046334,1.34e-4,5.03251e-4
