marker,gene,ms_hd_median_diff,ms_vs_hd_diff_wilcox_fdr
8253_2_3,POMGNT1,-0.381106632,0.001102302
14314_6_3,PPIL2,0.44832745,0.016508728
5023_23_1,ADSL,0.746416463,3.6685e-4
7034_4_3,SGCB,1.41458899,1.98e-10
4567_82_2,SH2D1A,0.619611455,6.96587e-4
3029_52_2,CD209,0.980698044,2.69e-8
13388_57_3,PCSK1,-0.264935348,0.0183
4123_60_2,FGF4,-0.827549739,2.61e-5
13681_173_3,CSNK2A2,0.920221435,7.61e-5
6326_20_3,BMP4,0.485081216,0.004224722
5596_75_3,CD5,0.602533686,2.8e-6
3216_2_2,PIGR,-1.31896585,2.56e-6
4534_10_2,PRSS22,-0.743960895,7.96e-4
7625_27_3,YWHAQ,0.270798074,0.024723132
6522_57_3,AMBN,1.457517927,6.29e-12
5226_36_3,CSNK2A2,-0.511480568,0.023731394
4126_22_1,BPI,-0.685424642,0.002649961
2843_13_2,SPINT2,-0.540724102,0.003243624
11531_24_3,C10orf54,-0.613747982,0.001787173
3292_75_1,CD48,2.78336876,4.63e-25
3056_11_1,KLRK1,0.797307827,5.42e-6
11129_66_3,BMP15,0.692844458,2.65e-7
5490_53_3,SPOCK1,-0.691829407,6.97e-5
3235_50_2,WFIKKN2,-0.468166284,0.001879313
6631_17_3,COL9A1,1.325726609,4.07e-10
9805_51_3,SEMA4B,-0.661813695,0.023131661
13747_9_3,CA6,-0.421976988,0.0154
12845_18_3,SNX17,0.513760922,0.038869152
4153_11_2,SERPINA3,1.329424362,1.52e-13
13499_30_3,F8,-0.511046053,0.018066139
6575_79_3,ADAMTSL1,0.341864083,0.032647126
7923_41_3,SEMA4C,0.252929382,0.037883104
7992_3_3,TMIE,1.158268143,2.25e-9
13996_16_3,PPCDC,0.858566969,4e-5
11121_56_3,VWC2,-0.575259647,5.69e-4
7785_1_3,EFNB3,0.452013213,0.034526252
14056_4_3,CGA,1.33570205,6.34e-7
14147_50_3,IFNG,-0.567637634,0.00235
8296_117_3,KDELC2,0.514347668,0.017869941
3290_50_2,CD109,0.947900423,1.73022e-4
11300_32_3,SORT1,0.516159713,0.004842592
6948_82_3,FIG4,0.708193391,5.19283e-4
8323_163_3,TFF3,0.781836514,5.2e-5
6897_38_3,B3GAT3,-0.645655491,3.78814e-4
4889_82_1,WNT7A,-0.578788333,0.001188216
5843_60_3,EHMT2,-0.751831881,2.99233e-4
8794_13_3,DPEP1,0.528626897,0.002379215
6300_14_3,RLN1,1.204222891,2.44e-10
5016_61_2,PARK7,0.412060474,0.014603634
8766_29_3,LILRA5,1.100986374,7.49e-8
5424_55_3,TNFRSF11A,0.280021128,0.041169828
14045_12_3,NCOA2,0.771937432,1.61417e-4
7009_8_3,CD72,1.126435319,6.1e-11
11391_69_3,MVK,0.473124809,0.001844726
14628_72_3,FBXO3,0.64330653,0.005531459
7945_10_3,SEMA6A,-0.7380065,0.00201
8921_139_3,PABPN1,0.76437884,0.002268205
9046_46_3,LRPPRC,1.631008008,1.25e-15
8933_84_3,MEF2C,-0.692900008,0.00447642
13596_3_3,RAB27B,0.417513117,0.008165383
11481_25_3,HAVCR2,-0.699527621,3.62e-6
13468_5_3,NEURL4,0.445266427,0.010698377
3198_4_1,IDS,-0.495519967,0.042
3719_2_2,CDKN1B,0.68526331,0.003747172
10908_2_3,GALNT13,-0.477355274,0.002583312
12590_67_3,PRB4,1.357026859,4.22e-9
3052_8_2,FASLG,1.136111017,3.89e-12
12846_3_3,FBXL5,0.996943167,5.04e-7
11212_7_3,TXNDC5,1.986293565,6.87e-20
10022_207_3,POLH,-0.665494942,2.35799e-4
5647_51_3,IAPP,0.98793731,1.73e-8
14061_48_3,TNFSF11,0.765189017,1.03e-5
8092_29_3,IL6R,0.361970411,0.0068124
8002_27_3,TMPRSS5,0.818874092,4.25e-5
9983_97_3,PRSS35,-0.540994492,0.030605957
11164_7_3,TENM2,0.987715616,2.16e-6
8000_17_3,KIR2DL5A,0.417633814,0.031919251
8804_39_3,COL20A1,0.897010636,1.8e-5
6277_55_3,ISM2,1.148965561,1.84e-10
11919_84_3,LRIT3,1.968354038,4.92e-14
4480_59_2,C3,1.240358067,1.26e-8
14149_9_3,IL36B,0.510023166,0.031794308
10615_18_3,MPZ,-0.64888084,9.10558e-4
7789_182_3,PRDX4,0.272604629,0.026469572
9767_22_3,RIPPLY1,0.318494847,0.015834142
2619_72_2,TACSTD2,-0.561265972,0.021177248
13578_98_3,ABLIM3,-0.575946008,0.002042995
3534_14_2,CD40LG,-0.473577257,0.013814823
7012_35_3,VNN2,0.382799993,0.00203
8383_20_3,C11orf94,-0.542265854,0.027816628
3642_4_1,CD84,0.918187766,1.65e-10
6583_67_3,SERPINA10,-0.774969347,9.12e-5
2631_50_2,IL10RB,0.795335229,2.44e-5
9170_24_3,IL17A,-0.3000786,0.043105358
3875_62_1,ARID3A,-0.572619853,0.004608862
13386_248_3,RNF34,1.101323919,6.37e-6
6551_94_3,SERPINA12,-0.322452009,0.040671729
5128_53_3,SLAMF6,2.451303133,5.32e-25
9995_6_3,DUT,0.709228162,0.003398028
5613_75_3,LAT2,-0.696412679,0.001491243
5080_131_3,GPNMB,0.711189842,5.47e-6
10701_30_3,CDH12,1.486383855,1.39e-9
12665_16_3,ILF2,0.684516648,3.33e-5
11248_43_3,UROS,0.602135177,0.001231419
9577_26_3,SYT2,0.798449253,2.45e-5
6593_5_3,GALNT3,0.566266364,0.014162549
6491_59_3,KLK15,-0.310986226,0.0405
10956_82_3,GCSH,1.255448217,1.1e-8
6462_12_3,TIMP4,-1.25915705,1.54e-13
8941_4_3,NLGN3,-0.569026819,0.00148
2967_8_1,VCAM1,1.594336239,5.73e-12
8755_202_3,HLA-DPB1,0.987247136,5.77e-6
13457_33_3,ELF5,-0.818680495,2.88e-6
3378_49_2,KLK7,-0.990948339,2.43e-12
6494_60_3,SPACA5,0.530614419,7.30815e-4
11440_58_3,SOCS3,-0.821274687,0.039755175
14099_20_3,PSMA4,0.727536908,0.001391515
5353_89_2,IL1RN,2.08731038,9.78e-17
8772_5_3,EFNB2,-0.444029059,0.005481872
9266_1_3,TREM1,1.846594126,4e-15
6377_54_3,LYZL2,0.598013884,0.003621544
12766_33_3,GPR142,-0.96900127,6.03e-7
4979_34_2,DPT,0.506051244,7.50831e-4
8016_19_3,DNAJC4,1.01288622,9.77e-7
9303_9_3,ICOSLG,0.346903721,0.006696283
3505_6_2,LTB,1.130446032,6.17e-6
11537_12_3,TFR2,-0.656876544,0.025848391
2900_53_3,CCL14,0.666327235,9.35e-5
8908_14_3,KCNE5,-1.117227857,9.35e-7
11546_7_3,CYGB,0.588161293,0.001190504
6521_35_3,NPTX2,-0.453659287,0.00185
7953_20_3,SLAMF1,2.988765159,1.21e-21
6923_1_3,PLOD2,-1.061578639,3.45e-10
6295_67_3,VCY,0.924479616,1.03e-8
4272_46_2,GPI,0.572362961,0.004657756
2763_66_2,FGF20,-0.591001655,0.005589462
6421_52_3,IFNA16,-0.834801303,0.001865104
12799_65_3,DNAJC27,0.495323877,0.013100892
3853_56_1,MDH1,-0.417781626,0.0142
12793_4_3,PIWIL1,-0.550808864,0.003888157
2848_2_2,WIF1,-0.518122123,0.0029
13378_80_3,C5orf63,0.596714092,0.021724158
14079_14_3,IL18R1,0.692182468,1.91724e-4
9848_22_3,CCNH,0.706541242,5.85765e-4
5063_12_2,CD244,-0.608788484,6.68639e-4
8475_15_3,MMP7,-0.340712135,0.0373
7127_3_3,APOA2,-1.030242597,2.09e-7
4212_5_3,EPS15L1,-0.381791385,0.011600149
9343_16_3,IL2RB,2.684717309,9.68e-21
7016_12_3,GCNT1,0.905688787,1.39e-6
9865_40_3,UBE2B,-0.605784508,0.001266432
5934_1_3,FTL,0.6674954,3.87e-4
8750_46_3,VCL,-0.204871678,0.049585396
8868_4_3,ACOT7,1.540546271,7.79e-14
7121_2_3,SYT7,-0.328956402,0.044244912
9859_180_3,SAT1,0.686731698,4.12e-6
12808_103_3,CARHSP1,0.619355593,9.7e-4
7926_13_3,SPINT3,0.448589019,0.003274843
